Ѕренд;кол-во блоков в артикуле
Asics;2
Adidas;2
Mizuno;2
Brooks;1
Onitsuka Tiger;2
Tornado;2
Mikasa;2
Elite Line;0
Macron;2
Champion;2
Select;2
High Tech;0
Dunlop;1
Slazenger;0
Kv.Rezac;1
Torres;1
Mueller;1
Polar;1
Vincere;0
Casio;1
Q&Q;2
Briko;0
Exenza;0
Fischer;0
Skins;2
CRAFT;2
